step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
12,kp,43,efermi,0.8556984268949482,0.2819723374183259,5384,0.8556984268949482,,,
12,kp,43,final_energy,0.1907885535726198,0.6426028629446502,5386,0.1907885535726198,,,
12,kp,43,total_magnetization,0.4248973499262061,0.5186558905159707,5386,0.4248973499262061,,,
12,kp,43,volume,0.29127832445760937,0.6851060650998931,5386,0.29127832445760937,,,
12,kp,43,dielectric_total,0.6048653621786213,0.4635736923715567,815,0.6048653621786213,,,
12,kp,43,dielectric_ionic,0.5317789278102232,0.5124710593249773,815,0.5317789278102232,,,
12,kp,43,dielectric_electronic,0.7762464915745617,0.29013892445490774,815,0.7762464915745617,,,
12,kp,43,magnetization,0.5937210545602448,0.4604747093895217,244,0.5937210545602448,,,
12,kp,43,curie,0.4466977915926009,0.5609497006074377,1424,0.4466977915926009,,,
12,kp,43,neel,0.4708089600160432,0.5341393979917451,857,0.4708089600160432,,,
12,kp,43,kp,0.5772095696644335,0.48037916134457387,1045,0.5772095696644335,,,
13,magnetic_susceptibility,30,density,0.9524644451699179,0.16437535481642732,5386,0.9524644451699179,,,
13,magnetic_susceptibility,30,efermi,0.857236500481512,0.2762480526842211,5384,0.857236500481512,,,
13,magnetic_susceptibility,30,final_energy,0.33204474332169653,0.6089157715312377,5386,0.33204474332169653,,,
13,magnetic_susceptibility,30,total_magnetization,0.42757448875738724,0.4861606775067599,5386,0.42757448875738724,,,
13,magnetic_susceptibility,30,volume,0.28120846234079944,0.7015778490210907,5386,0.28120846234079944,,,
13,magnetic_susceptibility,30,dielectric_total,0.5798819974874456,0.4675307401854369,815,0.5798819974874456,,,
13,magnetic_susceptibility,30,dielectric_ionic,0.5247693527223082,0.5270205852922291,815,0.5247693527223082,,,
13,magnetic_susceptibility,30,dielectric_electronic,0.8055056239510814,0.2638711543783971,815,0.8055056239510814,,,
13,magnetic_susceptibility,30,magnetization,0.5851563778997144,0.46733845277641833,244,0.5851563778997144,,,
13,magnetic_susceptibility,30,curie,0.5714138761684453,0.4606374259634711,1424,0.5714138761684453,,,
13,magnetic_susceptibility,30,neel,0.5181508175897362,0.5063592309006882,857,0.5181508175897362,,,
13,magnetic_susceptibility,30,kp,0.46535623740888554,0.5230791346704381,1045,0.46535623740888554,,,
13,magnetic_susceptibility,30,magnetic_susceptibility,-0.08753545940807128,0.8559333220574399,20,-0.08753545940807128,6000.0,,
14,zt,38,density,0.9610850228891413,0.1476354944337975,5386,0.9610850228891413,,,
14,zt,38,efermi,0.8498141206323249,0.282639273498417,5384,0.8498141206323249,,,
14,zt,38,final_energy,0.3489217848740107,0.6063553030879729,5386,0.3489217848740107,,,
14,zt,38,total_magnetization,0.4609855357497028,0.5205620470925868,5386,0.4609855357497028,,,
14,zt,38,volume,0.29246187477003327,0.6895980973477727,5386,0.29246187477003327,,,
14,zt,38,dielectric_total,0.6102167501206155,0.4542840521879343,815,0.6102167501206155,,,
14,zt,38,dielectric_ionic,0.5368332916464003,0.4991317285495872,815,0.5368332916464003,,,
14,zt,38,dielectric_electronic,0.8060046294992085,0.2704842664860977,815,0.8060046294992085,,,
14,zt,38,magnetization,0.6282639743327059,0.4368841533570823,244,0.6282639743327059,,,
14,zt,38,curie,0.5996577156585243,0.4445259689881963,1424,0.5996577156585243,,,
14,zt,38,neel,0.5670084334639954,0.48073914637281645,857,0.5670084334639954,,,
14,zt,38,kp,0.5263325578393799,0.4907700388147211,1045,0.5263325578393799,,,
14,zt,38,magnetic_susceptibility,-0.07081764600194007,0.38579747385670893,20,-0.07081764600194007,6000.0,,
14,zt,38,zt,0.6225818222205319,0.46886690716344687,774,0.6225818222205319,232200.0,,
15,power_factor,43,density,0.958802842033861,0.1506674965989706,5386,0.958802842033861,,,
15,power_factor,43,efermi,0.8515742260225023,0.2835121817039539,5384,0.8515742260225023,,,
15,power_factor,43,final_energy,0.3720326815686895,0.5776340605872731,5386,0.3720326815686895,,,
15,power_factor,43,total_magnetization,0.47296687671312254,0.4986715369880986,5386,0.47296687671312254,,,
15,power_factor,43,volume,0.27363440891694,0.69490697204177,5386,0.27363440891694,,,
15,power_factor,43,dielectric_total,0.6234879891582217,0.44977647319515907,815,0.6234879891582217,,,
15,power_factor,43,dielectric_ionic,0.5290789773750553,0.5138377335284667,815,0.5290789773750553,,,
15,power_factor,43,dielectric_electronic,0.8068494696595323,0.2734491699509409,815,0.8068494696595323,,,
15,power_factor,43,magnetization,0.6277378248556549,0.439199429990642,244,0.6277378248556549,,,
15,power_factor,43,curie,0.6002714035763407,0.45640445965240484,1424,0.6002714035763407,,,
15,power_factor,43,neel,0.5513050710080104,0.4810517957079558,857,0.5513050710080104,,,
15,power_factor,43,kp,0.43360936462566324,0.5275474783541405,1045,0.43360936462566324,,,
15,power_factor,43,magnetic_susceptibility,0.005329520051849057,0.35417784845508066,20,0.005329520051849057,6000.0,,
15,power_factor,43,zt,0.5526133106585973,0.49887988280555506,774,0.5526133106585973,232200.0,,
15,power_factor,43,power_factor,0.6340038935095489,0.4552229259114973,802,0.6340038935095489,240600.0,,
16,thermal_conductivity,53,density,0.961185737534672,0.14687353259316463,5386,0.961185737534672,,,
16,thermal_conductivity,53,efermi,0.857292706370176,0.2767532471584375,5384,0.857292706370176,,,
16,thermal_conductivity,53,final_energy,0.36160560829258115,0.5663609377815295,5386,0.36160560829258115,,,
16,thermal_conductivity,53,total_magnetization,0.4471943269696551,0.5096722198440604,5386,0.4471943269696551,,,
16,thermal_conductivity,53,volume,0.273650607841156,0.6925157734551103,5386,0.273650607841156,,,
16,thermal_conductivity,53,dielectric_total,0.5888150093350497,0.47307708113311664,815,0.5888150093350497,,,
16,thermal_conductivity,53,dielectric_ionic,0.5350209331192117,0.4938467031871291,815,0.5350209331192117,,,
